data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.271,True,True,False,True
medqa_5_options,f1(macro),0.2243,True,True,False,True
medqa_4_options,acc,0.3181,True,True,False,True
medqa_4_options,f1(macro),0.2694,True,True,False,True
kormedmcqa_pharm,acc,0.2407,True,True,False,True
kormedmcqa_pharm,f1(macro),0.2352,True,True,False,True
kormedmcqa_nurse,acc,0.3109,True,True,False,True
kormedmcqa_nurse,f1(macro),0.2981,True,True,False,True
kormedmcqa_doctor,acc,0.1954,True,True,False,True
kormedmcqa_doctor,f1(macro),0.1582,True,True,False,True
kormedmcqa_dentist,acc,0.2528,True,True,False,True
kormedmcqa_dentist,f1(macro),0.2436,True,True,False,True
medqa_5_options,acc,0.2789,False,False,False,False
medqa_5_options,f1(macro),0.2206,False,False,False,False
medqa_4_options,acc,0.3527,False,False,False,False
medqa_4_options,f1(macro),0.2565,False,False,False,False
kormedmcqa_dentist,acc,0.2355,False,False,False,False
kormedmcqa_dentist,f1(macro),0.2283,False,False,False,False
kormedmcqa_doctor,acc,0.2115,False,False,False,False
kormedmcqa_doctor,f1(macro),0.2101,False,False,False,False
kormedmcqa_nurse,acc,0.3075,False,False,False,False
kormedmcqa_nurse,f1(macro),0.3004,False,False,False,False
kormedmcqa_pharm,acc,0.2554,False,False,False,False
kormedmcqa_pharm,f1(macro),0.2566,False,False,False,False
medqa_5_options,acc,0.2891,False,True,False,False
medqa_5_options,f1(macro),0.2265,False,True,False,False
medqa_4_options,acc,0.3307,False,True,False,False
medqa_4_options,f1(macro),0.2127,False,True,False,False
kormedmcqa_dentist,acc,0.2454,False,True,False,False
kormedmcqa_dentist,f1(macro),0.2024,False,True,False,False
kormedmcqa_doctor,acc,0.2,False,True,False,False
kormedmcqa_doctor,f1(macro),0.1597,False,True,False,False
kormedmcqa_nurse,acc,0.2995,False,True,False,False
kormedmcqa_nurse,f1(macro),0.2398,False,True,False,False
kormedmcqa_pharm,acc,0.2486,False,True,False,False
kormedmcqa_pharm,f1(macro),0.2079,False,True,False,False
