data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.4588,False,False,False,False
medqa_5_options,f1(macro),0.3731,False,False,False,False
medqa_4_options,acc,0.5232,False,False,False,False
medqa_4_options,f1(macro),0.4112,False,False,False,False
kormedmcqa_pharm,acc,0.5706,False,False,False,False
kormedmcqa_pharm,f1(macro),0.4747,False,False,False,False
kormedmcqa_nurse,acc,0.6469,False,False,False,False
kormedmcqa_nurse,f1(macro),0.5386,False,False,False,False
kormedmcqa_doctor,acc,0.4092,False,False,False,False
kormedmcqa_doctor,f1(macro),0.3362,False,False,False,False
kormedmcqa_dentist,acc,0.4143,False,False,False,False
kormedmcqa_dentist,f1(macro),0.3399,False,False,False,False
medqa_5_options,acc,0.4713,False,True,False,False
medqa_5_options,f1(macro),0.4553,False,True,False,False
medqa_4_options,acc,0.4595,False,True,False,False
medqa_4_options,f1(macro),0.395,False,True,False,False
kormedmcqa_dentist,acc,0.4131,False,True,False,False
kormedmcqa_dentist,f1(macro),0.3388,False,True,False,False
kormedmcqa_doctor,acc,0.4598,False,True,False,False
kormedmcqa_doctor,f1(macro),0.3831,False,True,False,False
kormedmcqa_nurse,acc,0.6697,False,True,False,False
kormedmcqa_nurse,f1(macro),0.6674,False,True,False,False
kormedmcqa_pharm,acc,0.5977,False,True,False,False
kormedmcqa_pharm,f1(macro),0.4977,False,True,False,False
